StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q7,Q8,Q9,Q10
2022-04-20 09:13:47,2022-04-20 09:32:40,IP Address,161.130.189.219,100,1133,True,2022-04-20 09:32:40,R_1DMwbSMxjlpu2zT,,,,,38.9361,-92.3056,anonymous,EN,SB,RL,9,8,9,9,"I thought the Lululemon social media account strictly for Columbia was a great idea and could attract a larger population of Mizzou students ",Each member did a great job communicating their ideas and using the slides and graphs to back them up.,I would suggest more statistical analysis to back up the ideas presented,"The presentation as a whole was short. I would recommend going more in depth and explain the graphs more. "
2022-04-20 09:18:25,2022-04-20 09:35:24,IP Address,161.130.189.234,100,1018,True,2022-04-20 09:35:24,R_269emV5axe03iNO,,,,,38.9361,-92.3056,anonymous,EN,AD,RL,10,10,10,10,your presentation was really engaging,your recommendations were super specific and creative,i'm not sure how feasible partnering with student housing would be,there were only 4 or 5 questionnaire questions covered in the presentation
2022-04-20 09:23:57,2022-04-20 09:35:44,IP Address,161.130.189.226,100,707,True,2022-04-20 09:35:44,R_RICLX9i0oMkXC6d,,,,,38.9361,-92.3056,anonymous,EN,JB,RL,10,9,9,9,Love the recommendations,Great visual aids to go along with your speaking points,"DIve deeper into your demographics like male vs female because I think thats a huge comparison. ",Inlcude statistic questions
2022-04-20 09:34:43,2022-04-20 09:35:58,IP Address,161.130.189.222,100,74,True,2022-04-20 09:35:58,R_2CTEEiIp9lMKFO5,,,,,38.9361,-92.3056,anonymous,EN,AG,RL,10,10,10,10,"We loved their examples ",The ambassador slides were very interesting,Describe your raw data,Use fun transitions between slides
2022-04-25 08:31:34,2022-04-25 08:32:53,IP Address,161.130.189.195,100,78,True,2022-04-25 08:32:53,R_3nJzHXBmpcGrbEh,,,,,38.9361,-92.3056,anonymous,EN,AG,JB,10,10,10,10,"We enjoyed how their slides were set up ","They were knowledgable on their topic ","Dress up next time ","Smile more "
2022-04-25 08:28:40,2022-04-25 08:41:38,IP Address,161.130.189.198,100,778,True,2022-04-25 08:41:38,R_R82YCXEVhv9rElP,,,,,38.9361,-92.3056,anonymous,EN,,JB,10,8,8,8,"The color scheme is very visually appealing. ","The photos added in are nice and related to the presentation. ",The charts are from Qualtrics not excel.,"Business casual attire may have been more professional. "
2022-04-25 08:41:53,2022-04-25 08:43:04,IP Address,161.130.189.198,100,70,True,2022-04-25 08:43:04,R_3QSoAuRunsd47JV,,,,,38.9361,-92.3056,anonymous,EN,NC,JB,10,8,8,8,The color scheme is visually appealing.,The photos added in are nice and related to the presentation.,The charts are from Qualtrics not excel.,Business casual attire may have been more professional.
2022-04-25 08:30:55,2022-04-25 08:43:41,IP Address,161.130.189.252,100,765,True,2022-04-25 08:43:41,R_3R1J2Yv0IM5reEC,,,,,38.9361,-92.3056,anonymous,EN,AD,JB,3,5,7,8,"Nice bar graphs / visuals, good explanation for the F-test and T-test ","Each group member spoke for an even amount of time ","Amount of words / content presented on each slide seemed overloaded ","Several of the Pie charts and percentage graphics were straight from Qualtrics "
2022-04-25 08:31:01,2022-04-25 08:45:02,IP Address,161.130.189.212,100,841,True,2022-04-25 08:45:03,R_r9c0l50koGxyMx3,,,,,38.9361,-92.3056,anonymous,EN,SB,JB,9,7,8,7,"The graphs were all easy to follow and well explained ","The group did a great job explaining the project limitations and how that effected the data results and ultimate recommendations for the Rec Center  ","I would suggest some of the members spoke louder and maintained eye contact with the audience ","We recommend the group dress more professionally "
2022-04-25 08:43:34,2022-04-25 08:45:47,IP Address,161.130.189.246,100,132,True,2022-04-25 08:45:47,R_4UzIiJxIVX88Dbr,,,,,38.9361,-92.3056,anonymous,EN,RL,JB,9,10,10,10,The group did a great job of making data clear and giving relatable examples.,The presentation had visual aids that made all information and data clear and interesting.,It would have been nice for the group to wear business casual clothing.,The group could have included a few more images in their presentation.
2022-04-25 08:50:07,2022-04-25 09:03:01,IP Address,161.130.189.252,100,773,True,2022-04-25 09:03:02,R_1f1ty1K0mE5xmVb,,,,,38.9361,-92.3056,anonymous,EN,AD,SB,8,4,8,5,Good amount of graphs all with good labels and color coding,"Enjoyed your Limitations slide, you guys had good explanations as to what limited your research ","The slide title font is smaller than the size of the content of each slide, makes the eyes wander looking for information ","Your groups recommendations came off pretty vague, wanted something more specific to increase student awareness "
2022-04-25 08:58:56,2022-04-25 09:05:20,IP Address,161.130.189.195,100,384,True,2022-04-25 09:05:21,R_3D6zTgeXKnOP1E9,,,,,38.9361,-92.3056,anonymous,EN,AG,SB,10,10,10,10,"You guys were very energetic ","We enjoyed the color of your slides ","There was a lot on each slide ","speak with more confidence "
2022-04-25 08:58:33,2022-04-25 09:06:02,IP Address,161.130.189.246,100,448,True,2022-04-25 09:06:03,R_USGpy83xNJvUwb7,,,,,38.9361,-92.3056,anonymous,EN,RL,SB,10,10,9,9,"The group did a clear, thorough job of presenting the information.",The group asked the class questions to try and engage the class.,"It would be nice if the fonts, text, and titles were uniform across the slides.","It would be nice to have better images rather than clipart in the slides. "
2022-04-25 08:55:31,2022-04-25 09:06:32,IP Address,161.130.189.199,100,660,True,2022-04-25 09:06:32,R_BKvox3ccJfhaQeJ,,,,,38.9361,-92.3056,anonymous,EN,JB,SB,8,9,8,6,Tough topic to tackle so we respect your ability to get the results you did,For a three person team it is impressive how you all worked together with less help than other teams,Show us a video or example of what it is or the app because I still don't know the online media or how to get to it,Exaplin your tests better. This slide went by really fast but I know its tough to explain the data
2022-04-25 08:16:44,2022-04-25 09:08:33,IP Address,161.130.189.219,100,3108,True,2022-04-25 09:08:35,R_1jVBNAHTraTOt3t,,,,,38.9361,-92.3056,anonymous,EN,NC,SB,10,9,9,10,"The slides are very easy to read and understand. ","Presenters were very professional and spoke clearly. ","Used Qualtrics charts/graphs instead of making them in excel. ","The t test and f test slide had too much information on it so it was difficult to read. "
2022-04-25 09:06:19,2022-04-25 09:20:29,IP Address,161.130.189.246,100,850,True,2022-04-25 09:20:30,R_u83lm48YME3I56F,,,,,38.9361,-92.3056,anonymous,EN,RL,NC,10,10,10,10,"The group did a great job presenting in an engaging, enthusiastic way.","The presentation was very visually appealing, and the group did a great job of making it cohesive and even implementing Mizzou colors into their graphs.",It may have been nice to see a few more images besides graphs in the presentation.,The group could have asked some questions to the audience to further engage the classroom.
2022-04-25 08:30:58,2022-04-25 09:24:51,IP Address,161.130.189.255,100,3232,True,2022-04-25 09:24:52,R_2c2DbG783Y1QTHA,,,,,38.9361,-92.3056,anonymous,EN,AD,NC,10,10,9,9,"Great presentation skills; not just reading the slides and spoke eloquently and transitioned very fluidly ","Showed great knowledge of the topic; each presenter spoke well and clearly knew the content extremely well  ",I think it would've been great to have seen some other graphs instead of mainly bar graphs to mix up the type of visuals,"When comparing different states and willingness to wear a mask, I think it would've been better to present the data as percentages instead of raw numbers since majority of MU students are from MO.   "
2022-04-25 08:46:23,2022-04-25 09:25:57,IP Address,161.130.189.212,100,2373,True,2022-04-25 09:25:57,R_2rjhec901H8uM5U,,,,,38.9361,-92.3056,anonymous,EN,SB,NC,8,8,8,8,"Each member was dressed professionally and spoke clearly when presenting  ",the slides were not crowded and flowed well with the presentation,"Although the slides were not crowded and flowed well, they were not as engaging for the audience ",The recommendations were somewhat general and could have included more data
2022-04-25 09:20:44,2022-04-25 09:29:58,IP Address,161.130.189.195,100,554,True,2022-04-25 09:29:58,R_eznHE9ezNN66tWN,,,,,38.9361,-92.3056,anonymous,EN,AG,NC,10,10,10,10,"You guys were knowledgable ","We enjoyed the setup of your project ","not all group members were present ","Make sure explanations aren't opinionated "
2022-04-25 09:09:55,2022-04-25 09:30:14,IP Address,161.130.189.199,100,1219,True,2022-04-25 09:30:14,R_1GEwWWiwLm7CtZs,,,,,38.9361,-92.3056,anonymous,EN,JB,NC,8,6,8,8,Good topic,I liked the questions you provided,Have your own recommendations,None
